Pressão Combustível,Temperatura Arref,motor,Rotação,Pressão oleo,temp oleo,pressao arref
11.79,81.63,1,700,2.49,84.14,3.18
16.19,82.45,0,876,2.94,77.64,2.46
6.55,79.65,1,520,2.96,77.75,1.06
19.51,71.77,1,473,3.71,74.13,3.73
15.74,87,0,619,5.67,78.4,2.05
6.68,75.67,0,1221,3.99,76.4,2.21
5.31,79.79,1,716,3.57,83.65,2.46
10.19,71.67,1,729,3.85,77.92,2.36
3.64,70.5,0,845,4.88,76.3,3.53
7.63,85.14,0,824,3.74,77.07,1.
10.84,85.92,0,1230,3.43,77.41,1.83
7.69,81.18,1,538,4.26,80.18,2.08
6.89,84.97,1,1187,2.59,78.1,1.83
10.09,75.58,1,609,3.75,77.28,3
